,level_0,index,song,artist
542,2069,9668,runaway,linkin park
543,3451,1568,setting fires,the chainsmokers
544,2279,8788,eazy  had enough,g
545,1150,6096,so alive,trippie redd
546,3267,1099,monster (shawn mendes & justin bieber),shawn mendes
547,4522,8102,some nights,fun.
548,1623,9280,san marcos,brockhampton
549,2167,8626,change pt.2,rm
550,824,2992,love lost,mac miller
551,4554,1002,it was a good day,ice cube
552,3454,4200,fade away,logic
553,694,7319,oh my dis side,travis scott
554,2592,7655,this is how you fall in love,jeremy zucker
555,589,6701,breakdown,tom petty and the heartbreakers
556,1520,7477,good ones,charli xcx
557,2867,606,lush life,zara larsson
558,3000,10691,the door,d'angelo
559,161,931,uproar,lil wayne
560,4493,5365,potential breakup song,aly & aj
561,4105,5910,blue collar boys,luke combs
562,3785,296,starving,hailee steinfeld
563,3863,6367,red eye,justin bieber
564,2212,6947,wave,justin timberlake
565,4772,8526,rambo (last blood),bryson tiller
566,3734,10589,world championship finale 2,the barden bellas
567,2474,7767,good goodbye,linkin park
568,4518,7493,love me,the 1975
569,2137,1651,silver bells,dean martin
570,2284,3060,guardian angel,xxxtentacion
571,900,4153,booker t,bad bunny
572,300,5967,either way,chris stapleton
573,647,3020,what to do?,jackboys
574,2123,6612,it's beginning to look like christmas,johnny mathis
575,454,3704,kids in love,kygo
576,4854,3468,the grinch,trippie redd
577,4496,5512,pieces,tory lanez
578,4392,10402,sweetheart,thomas rhett
579,4175,6136,colors and shapes,mac miller
580,226,9977,m.p.a.,pusha t
581,2065,7967,disconnect,6lack
582,3891,4714,!,trippie redd
583,4046,4885,pretty boy,joji
584,1081,1374,no friends in the industry,drake
585,2510,2573,to the max,dj khaled
586,672,6423,everybody (backstreet's back),backstreet boys
587,707,9279,riptide,the chainsmokers
588,3751,5581,huncho dreams,quavo
589,1751,1436,one of them girls,lee brice
590,613,5795,dealer,lana del rey
591,1469,1643,repeat it,lil tecca
592,2912,9456,dreamer,martin garrix
593,2939,6500,testify,future
594,2467,8769,little things,one direction
595,4230,10692,ticket to ride  remastered,the beatles
596,2577,263,panini,lil nas x
597,4255,10068,hold on,illenium
598,1775,62,look alive,blocboy jb
599,3892,3740,liability,lorde
600,3516,782,spoil my night,post malone
601,681,1310,3 headed goat,lil durk
602,2714,6043,moonlight,ariana grande
603,3493,10779,way hii,a$ap mob
604,1159,2829,mac 10,trippie redd
605,2604,4618,water (drowning pt. 2),a boogie wit da hoodie
606,584,5359,best i ever had,drake
607,1258,2313,believe,mumford & sons
